4	1 -2635114.632225984 -4456750.359325316 3713049.7245793804
4	2 -2635114.631382151 -4456750.357503892 3713049.723708796
4	3 -2635114.6258108406 -4456750.347284737 3713049.715282339
4	4 -2635114.6227443735 -4456750.341939307 3713049.711984347
4	5 -2635114.621577243 -4456750.339929159 3713049.7118393937
4	6 -2635114.6285728537 -4456750.350635375 3713049.7190458863
1	7 -2635114.633390416 -4456750.361152225 3713049.728335617
1	8 -2635114.6336814044 -4456750.362411599 3713049.730192817
1	9 -2635114.636423974 -4456750.365340503 3713049.73349187
1	10 -2635114.6322609764 -4456750.358787307 3713049.730607635
1	11 -2635114.6333791064 -4456750.360373136 3713049.7325225314
1	12 -2635114.626749318 -4456750.349596033 3713049.722601769
1	13 -2635114.630842909 -4456750.358042061 3713049.7288532993
1	14 -2635114.62936873 -4456750.3544980055 3713049.7276800442
1	15 -2635114.6292502703 -4456750.355245986 3713049.7271435303
1	16 -2635114.630728878 -4456750.355931022 3713049.7318131276
1	17 -2635114.6337909983 -4456750.362478903 3713049.7337193955
1	18 -2635114.635344869 -4456750.363694591 3713049.7369395006
1	19 -2635114.6362065217 -4456750.364442544 3713049.736345538
1	20 -2635114.6363187917 -4456750.362935897 3713049.73681707
1	21 -2635114.6282565994 -4456750.353974663 3713049.7270250143
1	22 -2635114.6272035986 -4456750.351955757 3713049.7245118474
1	23 -2635114.6277603973 -4456750.354182539 3713049.727078819
1	24 -2635114.640115886 -4456750.373555457 3713049.7441953593
1	25 -2635114.632742632 -4456750.362863229 3713049.734221383
1	26 -2635114.6302435533 -4456750.357606134 3713049.7309469753
1	27 -2635114.6333423047 -4456750.362861077 3713049.7344803847
1	28 -2635114.631074154 -4456750.352268887 3713049.726500795
1	29 -2635114.6282388023 -4456750.35154877 3713049.7258983725
1	30 -2635114.627747902 -4456750.348246757 3713049.723182784
1	31 -2635114.628132825 -4456750.351681814 3713049.7239104137
1	32 -2635114.637586574 -4456750.365822954 3713049.7358642253
1	33 -2635114.6273409184 -4456750.349499776 3713049.7218510164
1	34 -2635114.6267261384 -4456750.349103719 3713049.722293251
1	35 -2635114.6340066125 -4456750.361279361 3713049.7306678523
1	36 -2635114.637600831 -4456750.3639891 3713049.733549774
1	37 -2635114.637001671 -4456750.362691114 3713049.7351483246
1	38 -2635114.6343851797 -4456750.3601261685 3713049.7322584186
