map center: 39.563353,-118.586426
station 	lat,long 	x,y
ldsw 	34.69943,-116.20914	816,1056
leep 	34.1346,-118.32175	624,1118
lema 	36.29202,-119.78239	491,878
lfrs 	34.09507,-118.41283	616,1122
linc 	37.63719,-119.01729	561,724
linj 	34.66202,-118.1392	641,1060
ljrn 	34.80752,-118.86774	574,1044
ll01 	34.48546,-117.83496	668,1079
llas 	34.58598,-117.83793	668,1068
lnc1 	38.84651,-121.35024	348,584
lnco 	36.35996,-119.05791	557,870
lnmt 	35.0902,-116.93965	750,1012
long 	34.1119,-118.00341	653,1120
lors 	34.13333,-117.75407	676,1118
lows 	35.82871,-120.59428	417,930
lphs 	34.02677,-117.95672	657,1130
lutz 	37.28685,-121.86523	302,765
lvms 	34.73361,-119.10369	553,1052
masw 	35.8326,-120.44306	431,929
mat2 	33.85676,-117.4367	705,1148
mee1 	36.1869,-120.7586	402,889
mhcb 	37.34153,-121.64258	322,758
mhms 	33.93905,-118.24413	631,1139
mida 	35.92191,-120.45883	430,919
mig1 	34.03826,-120.35139	439,1129
mins 	37.65376,-119.0609	557,722
mjpk 	33.71448,-117.55047	694,1164
mlfp 	33.9184,-117.31796	715,1142
mnmc 	35.96947,-120.43405	432,914
modb 	41.90233,-120.30283	444,219
monb 	37.48533,-121.86687	301,742
monp 	32.89194,-116.42235	797,1254
mpwd 	34.29551,-118.87802	573,1100
mrdm 	34.17523,-117.88169	664,1114
msob 	34.23084,-117.21013	725,1107
mta1 	34.05522,-118.2455	631,1127
muln 	36.56508,-120.09161	463,847
musb 	37.16994,-119.30935	534,778
musd 	34.261604,-119.09605	554,1104
mvfd 	33.21087,-116.52531	788,1219
mwtp 	37.64052,-118.94473	567,724
nbps 	34.50862,-116.14817	822,1077
nhrg 	34.49866,-119.14126	549,1078
noco 	33.91971,-117.56958	693,1142
nopk 	33.97974,-118.34801	622,1135
nsss 	32.57931,-116.97268	747,1287
oaes 	34.14101,-116.06774	829,1117
oeoc 	33.76586,-117.74414	677,1158
oghs 	33.13061,-117.04177	741,1228
ohln 	38.00625,-122.27299	264,682
opbl 	34.36988,-115.91806	843,1092
opcl 	34.42772,-116.30546	808,1086
opcp 	34.36713,-116.08337	828,1092
opcx 	34.43008,-116.14948	822,1085
oprd 	34.53303,-116.29228	809,1074
ores 	34.73906,-120.27856	446,1051
ormt 	34.6749,-116.81509	761,1058
orvb 	39.55463,-121.50029	335,501
ovls 	34.32736,-119.14195	549,1097
oxmt 	37.49936,-122.42432	251,740
oxyc 	34.12881,-118.20731	635,1119
ozst 	34.68337,-119.35341	530,1057
p091 	36.61432,-117.53154	696,841
p093 	36.60603,-117.99414	654,842
p141 	39.04663,-120.38558	436,561
p144 	39.4667,-120.89299	390,511
p147 	39.93739,-120.28441	445,456
p154 	41.80708,-123.36005	165,231
p174 	36.30215,-121.0509	376,876
p176 	37.47177,-122.35714	257,743
p178 	37.53452,-122.33236	259,736
p180 	36.29283,-121.40324	344,878
p184 	39.11716,-123.70894	134,553
p186 	39.15018,-123.51815	151,549
p193 	38.12294,-122.90814	207,668
p195 	38.66466,-122.95931	202,605
p202 	38.42358,-122.496	244,633
p203 	38.86611,-122.917	206,582
p204 	38.6665,-122.71053	225,605
p209 	37.06925,-122.12671	278,789
p211 	36.87918,-121.69804	317,811
p215 	37.04878,-121.76295	311,792
p216 	37.00243,-121.72621	314,797
p221 	37.33695,-122.09905	280,759
p232 	36.72402,-121.57904	328,829
p235 	36.81427,-121.54154	331,818
p237 	36.63702,-121.38683	345,839
p241 	37.21301,-121.57426	328,773
p243 	36.91819,-121.33515	350,807
p248 	37.97561,-121.8687	301,685
p250 	36.95004,-121.26844	356,803
p254 	37.48963,-121.4692	338,741
p258 	37.38539,-121.28327	355,753
p279 	35.79065,-121.06202	375,934
p286 	36.51591,-120.85306	394,852
p289 	36.10684,-120.74882	403,898
p299 	36.25682,-120.7102	407,882
p310 	38.73561,-120.33434	441,597
p323 	39.84575,-122.96344	202,467
p330 	40.32407,-123.13558	186,410
p331 	40.73291,-123.32414	169,361
p333 	39.62138,-122.97575	200,493
p337 	40.29619,-122.8688	210,413
